#FAMILIES
leafFamily	familyPath
Western	Turkic;;Common Turkic;;Oghuz;;Western
Western Bisayan	Malayo-Polynesian;;Philippine;;Central Philippine;;Bisayan;;Western Bisayan
Western Brittonic	Celtic;;Insular Celtic;;Brittonic;;Western Brittonic
Western Indo-Aryan	Indo-Iranian;;Indo-Aryan;;Western Indo-Aryan
Western Nilotic	Eastern Sudanic;;Southern Eastern;;Nilotic;;Western Nilotic
Western Oghuz	Turkic;;Common Turkic;;Oghuz;;Western Oghuz
Western Pahari	Indo-Iranian;;Indo-Aryan;;Northern;;Western Pahari
Wichi languages	Matacoan;;Wichi languages
Yue-Tai & Hailu	Sinitic;;Chinese;;Hakka–Gan?;;Hakka–She?;;Hakka;;Yue-Tai & Hailu
Yuehai	Sinitic;;Chinese;;Yue;;Yuehai
Yuki–Wappo	Yuki–Wappo
Zande–Nzakara	Atlantic-Congo;;Volta-Congo;;Savannas?;;Ubangian;;Zande languages;;Zande–Nzakara
Zunda	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu;;Southern Bantu;;Nguni-Tsonga;;Nguni;;Zunda
indigenous–Auslan creole	indigenous–Auslan creole
mixed Puquina–Quechua	mixed Puquina–Quechua
| ancestor = Old Malay	Malayo-Polynesian;;Malayic;;| fam5 =;;| ancestor = Old Malay
| ancestor = Old Telugu	Dravidic;;Southern Dravidic;;South–Central Dravidic;;| ancestor = Old Telugu
| ancestor = Proto-Koreanic	Koreanic;;| ancestor = Proto-Koreanic
| dia1 = Prekmurje	Balto-Slavic;;Slavic;;South Slavic;;Western South Slavic;;| dia1 = Prekmurje
| script = Latin (Finnish alphabet)	Finnic;;Northern Finnic;;| script = Latin (Finnish alphabet)
|iso3=none	Arab Sign Language family?;;|iso3=none
#LANGUAGES
name	nativeName	writingSystem	region	ethnicity	speakers	iso6391	iso6392	iso6393	glottolog	wikipediaTitle	wikipediaUrl	countries	scripts	leafFamilies
Abkhaz	аԥсшәа/аҧсшәа; аԥсуа бызшәа, ;	Cyrillic (Abkhaz alphabet) Historically: Latin, Georgian	Caucasus	Abkhazians	194, 710	ab	abk	abk	abkh1244	Abkhaz language	https://en.wikipedia.org/wiki/Abkhaz_language	Abkhazia	Cyrillic (Abkhaz alphabet) Historically: Latin;;Georgian	Abaza–Abkhaz
